0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
503.304,482.181,0.900673,403.826,650.032,0.879458,320.121,670.917,0.761405,524.106,870.085,0.849397,581.913,796.59,0.704512,487.658,639.366,0.833643,623.802,812.42,0.86686,524.382,848.848,0.648867,419.556,1042.85,0.69807,351.261,1069.01,0.706246,650.147,1205.26,0.822396,524.365,1482.71,0.833894,487.755,1021.75,0.712473,728.685,1068.94,0.922341,649.88,1362.3,0.837712,461.468,451.045,0.847828,503.236,440.637,0.778955,356.987,477.013,0.920223,0.0,0.0,0.0,749.614,1383.39,0.805869,738.956,1367.63,0.825579,634.187,1398.75,0.504807,665.639,1540.37,0.801735,623.846,1556.21,0.776151,482.619,1493.3,0.813102
503.287,482.143,0.902638,403.803,650.005,0.879404,320.085,670.87,0.761543,524.147,870.109,0.856551,581.937,796.579,0.709965,487.633,639.358,0.830087,623.735,812.328,0.868327,529.464,843.793,0.639709,424.704,1042.79,0.704142,351.325,1068.97,0.713896,650.089,1210.44,0.818669,524.235,1477.67,0.826902,492.868,1021.7,0.712209,728.573,1068.93,0.919591,649.864,1362.32,0.825426,461.488,450.967,0.851341,503.248,440.602,0.778345,356.953,477.023,0.929604,0.0,0.0,0.0,749.591,1388.46,0.800593,738.935,1367.69,0.809941,634.251,1398.82,0.527573,660.513,1535.33,0.796499,623.736,1556.17,0.7594,482.421,1488.24,0.826737
508.559,482.153,0.913018,403.807,649.972,0.879729,320.076,665.776,0.764253,524.115,869.918,0.858511,581.929,791.358,0.726728,487.629,639.354,0.825183,628.998,812.254,0.864737,524.419,848.863,0.64022,419.55,1042.75,0.697123,346.22,1068.96,0.70437,650.06,1210.4,0.817908,524.2,1482.6,0.833134,492.832,1021.68,0.706115,728.592,1068.9,0.919961,644.943,1362.32,0.828558,471.715,451.025,0.865027,503.404,440.653,0.729531,361.88,477.084,0.928202,0.0,0.0,0.0,754.679,1383.37,0.792476,738.953,1367.64,0.814029,629.013,1398.77,0.518307,660.495,1535.34,0.791369,618.64,1561.18,0.762953,482.4,1488.28,0.823641
508.641,482.201,0.912481,403.975,650.029,0.860213,325.206,665.784,0.75139,524.262,864.955,0.869475,587.194,791.351,0.726639,487.742,639.54,0.820913,628.972,812.255,0.859171,524.435,843.854,0.636753,414.371,1037.67,0.69383,346.095,1068.92,0.695858,650.002,1205.31,0.824341,524.168,1482.6,0.836576,487.775,1021.64,0.697796,728.6,1068.91,0.923362,644.776,1362.37,0.840851,471.829,456.133,0.879912,508.433,440.722,0.683449,362.021,477.146,0.920253,0.0,0.0,0.0,754.686,1378.17,0.801711,738.946,1367.51,0.837583,618.679,1398.82,0.538665,655.408,1535.28,0.7928,618.61,1556.16,0.759807,482.388,1488.27,0.84377
513.68,482.301,0.916908,408.966,649.99,0.857815,325.268,665.628,0.756013,524.328,864.807,0.889914,602.808,801.922,0.760592,487.753,639.516,0.829735,634.165,812.261,0.85009,524.444,828.198,0.626957,414.382,1037.71,0.69383,346.137,1068.97,0.695331,650.03,1205.15,0.826854,524.097,1482.7,0.843782,492.779,1021.67,0.700417,728.587,1068.87,0.925414,644.746,1362.38,0.83015,476.834,461.322,0.897534,508.645,445.729,0.660669,367.174,477.19,0.903969,0.0,0.0,0.0,754.672,1378.11,0.798104,734.035,1362.59,0.838744,618.719,1398.89,0.531024,655.36,1535.28,0.786619,618.548,1556.17,0.751174,482.333,1493.24,0.840187
518.834,482.422,0.937124,414.223,649.999,0.8532,330.545,660.535,0.758529,524.339,870.013,0.868335,597.537,806.93,0.756071,492.903,639.582,0.821427,634.178,812.347,0.869114,524.385,833.243,0.636291,409.094,1037.71,0.6952,346.048,1068.93,0.681698,650.013,1200.16,0.838699,524.211,1482.71,0.837515,482.546,1021.73,0.703849,728.498,1068.87,0.919818,644.642,1362.48,0.828181,477.12,461.499,0.920551,513.838,445.857,0.676034,372.444,477.213,0.897555,0.0,0.0,0.0,749.488,1378.16,0.80556,733.919,1367.5,0.851758,618.639,1398.85,0.508734,655.339,1535.33,0.792385,618.591,1556.16,0.764164,482.363,1493.24,0.845248
519.082,487.571,0.927589,414.356,650.0,0.847837,335.646,665.62,0.752514,524.432,870.025,0.852008,602.819,801.974,0.751327,498.057,639.601,0.806286,634.321,812.452,0.848204,540.026,833.31,0.615623,414.233,1037.68,0.698092,346.087,1068.9,0.687703,649.999,1200.12,0.845379,524.259,1482.68,0.839064,487.562,1021.76,0.71801,728.484,1068.9,0.920935,644.528,1362.57,0.812132,477.296,466.705,0.924028,518.976,451.063,0.746291,382.768,477.34,0.899399,0.0,0.0,0.0,744.408,1372.94,0.798837,733.827,1362.52,0.852198,618.627,1398.97,0.485707,655.358,1540.36,0.79812,618.614,1556.18,0.777821,482.427,1493.24,0.846433
524.21,487.679,0.912333,419.595,650.109,0.84473,335.795,670.844,0.75117,529.542,880.472,0.828582,597.613,806.958,0.737008,503.249,639.595,0.804473,639.496,817.431,0.883798,524.412,854.39,0.666058,409.162,1037.66,0.696759,346.115,1068.91,0.691141,649.941,1200.1,0.848109,524.143,1482.67,0.836879,482.589,1021.69,0.710477,728.399,1068.88,0.914917,644.645,1362.56,0.828865,482.41,471.706,0.929658,524.086,456.135,0.751236,388.159,482.25,0.938422,0.0,0.0,0.0,744.312,1372.92,0.808769,733.773,1362.52,0.861739,618.658,1398.94,0.501489,655.34,1540.4,0.789102,618.558,1561.21,0.772637,482.322,1493.21,0.85929
524.5,492.943,0.872878,429.922,650.259,0.869087,346.101,676.162,0.767939,524.55,885.724,0.844241,602.807,812.097,0.756796,513.694,644.528,0.829551,639.595,812.57,0.874719,555.589,849.042,0.654356,414.307,1037.68,0.695002,346.209,1068.87,0.698236,649.887,1205.16,0.838779,524.087,1482.61,0.823646,487.555,1021.71,0.70897,728.407,1068.85,0.915987,644.662,1362.4,0.841021,482.683,471.943,0.919572,524.326,466.604,0.746768,393.208,482.229,0.963144,0.0,0.0,0.0,744.233,1378.03,0.809516,733.759,1362.59,0.855061,618.634,1398.72,0.502634,655.356,1540.4,0.786286,618.558,1561.19,0.765271,482.262,1488.29,0.842251
534.83,498.122,0.840133,434.994,650.17,0.88873,346.263,671.009,0.7646,534.7,890.987,0.844633,608.185,812.576,0.702304,518.755,639.598,0.839659,644.554,817.616,0.78712,566.298,838.616,0.415496,419.548,1042.9,0.695445,346.281,1068.97,0.702714,649.989,1205.17,0.840007,519.256,1482.71,0.834484,492.772,1021.9,0.707791,728.419,1068.88,0.917826,644.685,1362.42,0.839804,498.115,476.862,0.885615,529.702,466.699,0.683705,398.423,477.369,0.953571,0.0,0.0,0.0,744.29,1378.11,0.806304,733.815,1362.61,0.848826,618.718,1398.76,0.499524,655.323,1540.38,0.809578,618.564,1556.22,0.781736,482.257,1493.24,0.843017
550.399,492.967,0.85198,435.357,650.121,0.912263,351.442,670.964,0.774883,545.198,895.943,0.847852,623.834,812.403,0.671537,519.111,644.503,0.87611,644.563,822.828,0.75284,560.91,833.4,0.390326,419.489,1042.91,0.687603,346.155,1068.91,0.701337,649.957,1205.2,0.841603,519.228,1482.75,0.839968,492.818,1022.0,0.699843,728.343,1068.89,0.910047,644.719,1362.39,0.843571,513.739,476.932,0.920137,545.226,471.734,0.686309,403.839,482.359,0.925767,0.0,0.0,0.0,744.277,1383.24,0.805547,733.796,1367.54,0.847398,623.755,1393.87,0.504007,655.315,1535.37,0.821088,618.609,1556.16,0.776866,482.273,1493.36,0.834968
560.729,498.139,0.885365,440.54,650.165,0.900564,361.936,671.009,0.769026,545.293,896.146,0.865794,670.997,807.027,0.592473,519.234,644.491,0.872641,639.594,812.383,0.797541,739.054,786.138,0.274525,414.351,1042.88,0.686374,346.127,1068.92,0.70319,649.947,1205.28,0.834333,524.096,1482.7,0.839622,487.715,1021.91,0.693472,728.298,1068.94,0.904007,644.683,1362.32,0.836929,519.087,477.044,0.958884,560.642,471.771,0.685807,409.178,482.274,0.885496,0.0,0.0,0.0,739.229,1383.36,0.812926,733.708,1367.61,0.836468,618.715,1393.66,0.483658,655.293,1540.41,0.81502,618.601,1556.21,0.77637,482.303,1493.27,0.83588
565.978,508.507,0.909394,445.804,655.198,0.853363,367.161,676.075,0.764953,555.739,896.411,0.911681,618.684,812.51,0.728347,529.425,644.763,0.8624,649.751,843.872,0.82515,566.244,843.793,0.393271,414.351,1042.92,0.689158,346.126,1068.89,0.708005,649.911,1210.37,0.830811,524.094,1482.69,0.839158,487.712,1022.04,0.702599,728.324,1068.96,0.909188,644.592,1362.33,0.822935,524.275,477.08,0.953643,561.175,471.889,0.717412,429.902,482.553,0.893459,0.0,0.0,0.0,739.153,1383.25,0.807394,733.622,1367.55,0.83218,618.65,1393.83,0.467179,655.275,1540.48,0.81383,618.582,1561.21,0.777599,482.253,1493.22,0.828903
