subjectid,lyapExp,appEntropy
ekZNvuex,3.077023765,0.407107183
maugZAlg,2.682624113,0.407635974
qiIHjZln,2.665239973,0.501963031
3sWbPSJv,2.442411889,0.374137903
Jbr8myiV,2.426078358,0.422285423
4Lm6PzX2,2.382831873,0.378094537
kHl7BBo3,1.797606174,0.42084781
T3aA8TCd,1.765017527,0.576933144
ahs2loij,1.737188453,0.311784561
CWf3eyvo,1.648975152,0.504430201
KyINSk8e,1.625715475,0.441443455
CAMRbQ1K,1.557141701,0.305314607
ZK2JlJsq,1.540702404,0.520033091
CvpdKx9g,1.530439798,0.540578636
oSFbRH4g,1.501721353,0.503094959
pxr3J4Ow,1.496558726,0.393681267
VEBURFuk,1.493872836,0.557000235
CCBwJuQg,1.478284923,0.349300369
vxlC5KaR,1.474958736,0.524201525
MSYVAPeM,1.45730805,0.457292302
N6l5Ci6H,1.451112075,0.422645409
yzutrWiF,1.448438541,0.432418093
mMfeNBCP,1.415842812,0.471487105
RFibHPt7,1.387713066,0.434620679
JOmsdP6A,1.385949087,0.531888089
jDDqCwxU,1.384124944,0.353087676
02MJoCiL,1.370532246,0.403319554
g5sxqMgO,1.350796895,0.468437052
FWDyTLr2,1.350084094,0.46619229
odbnl461,1.344378105,0.467511589
VPAqPZQI,1.336493941,0.509743762
FsNM5n5s,1.336319022,0.201915843
osrCJbfp,1.3250178,0.482330387
m43FWyiY,1.320447563,0.546422418
bR8vqmI1,1.318774571,0.477452291
b632WDpF,1.308906489,0.435914228
kGhQ1FQc,1.305455723,0.481165834
SnYQMMBW,1.304333907,0.473830438
zgGJNHuU,1.302805547,0.466823288
i9oVbbz6,1.29521637,0.462832437
JKDP8D2e,1.289034651,0.484414794
8CHx7D0i,1.274029566,0.412057304
qUI9PiJS,1.267199284,0.498008091
sUlatygS,1.264545119,0.622155669
DVmTCuSO,1.249552871,0.467318249
O21FTG3F,1.248394414,0.472415559
15IPa5iS,1.237389011,0.516989817
mxKQbPdW,1.229658826,0.58704192
HA57ijek,1.229219338,0.37201558
f8iKrVUp,1.226291217,0.445383987
jasA5s93,1.210862413,0.433235199
RZ584xig,1.208965095,0.381559044
uwtiYEpw,1.207886927,0.412498252
1O18MObh,1.206150558,0.429163953
g2W4FUSb,1.195484185,0.422039561
fd7pMJua,1.193728239,0.489674227
O2Kvv0GJ,1.192676872,0.500828443
dHsx22mJ,1.189316853,0.460489099
PHr2f4TQ,1.188100718,0.333451353
AA9IzAL1,1.180149961,0.509768469
WRgBWkBO,1.175683787,0.496632208
lxLc4Sek,1.17417436,0.430599869
Y2Mijmxk,1.166477498,0.345168644
GwvQ3hpI,1.158429955,0.327668709
nvvWjNuQ,1.152930652,0.402529594
U0NC3iwE,1.152397164,0.364751274
QNEd2eGX,1.14916211,0.459967788
PhCyuRvo,1.145271435,0.419039826
Aq75NMHO,1.139241941,0.465512361
nqtTzjoP,1.13582249,0.280539511
gZry6Nal,1.110459563,0.509051721
cIvtHO4P,1.108073593,0.421086119
6U6mieI8,1.105955436,0.536706225
bePyG1Du,1.105842571,0.387446643
C5W4TIo7,1.105484078,0.512735969
P5wlKd0H,1.099650212,0.421897768
2SV6hYB2,1.098998119,0.520769872
UZ9Vsj7D,1.093635431,0.563685655
NCK9pYwX,1.0866493,0.389084126
BvPM57u7,1.084694421,0.435634267
WiKfwQG1,1.075849636,0.348319909
GITsdVy7,1.071244392,0.540799167
nJNrFOAf,1.067178107,0.307749795
AVXJQX9B,1.066693852,0.439427473
zSWVNAon,1.066321132,0.275653522
DHAxflfI,1.063310568,0.487622197
y3ET3wKE,1.06232955,0.640176698
jD5WJNcX,1.051796222,0.416961217
8S2DLkDz,1.048872929,0.480528922
w2e3O8Lh,1.04768162,0.406139536
6MFubdNK,1.046682721,0.405920036
LAervIgm,1.042445862,0.425302539
XkrRgefi,1.040859694,0.299064221
l230IPIW,1.038313479,0.409540897
HpYl7dTS,1.033570119,0.459276507
ZbuDvcLk,1.033548664,0.389113775
eOBg4mwH,1.030313274,0.482134573
erdKOQ7X,1.029960805,0.574797575
we9IrnZq,1.029730191,0.388213421
GLKexPjc,1.023780922,0.539278241
zkO4XPXQ,1.01983365,0.364420272
a59COYtO,1.015622043,0.358332151
gbNgqUpT,0.998932013,0.284160012
fLfdcR9Z,0.993798348,0.459280131
RuSZ5rNP,0.986529822,0.449196795
xEIsrkiR,0.979805143,0.33619476
fihT2q9c,0.971669029,0.342228019
1wXKj1Hr,0.969538764,0.39018956
wBZ1RW0f,0.95968898,0.469109112
byzUmGWJ,0.957032678,0.517787523
yZHRUMz7,0.953362211,0.568524548
KNaNAjLP,0.951757355,0.429295304
