subjectid,lyapExp,appEntropy
3sWbPSJv,2.600965252,0.302715086
ahs2loij,2.277428891,0.38606153
Di0gPE0H,1.742060215,0.382480436
4Lm6PzX2,1.739482293,0.320998578
Q0xDqlUa,1.630010157,0.473245213
Jbr8myiV,1.580293815,0.350382197
VEBURFuk,1.558342907,0.468019567
bqTsXpKl,1.544152494,0.392365882
wQKnlZmx,1.46884263,0.504227958
qpxWRSOP,1.463979055,0.429691589
kHl7BBo3,1.454558137,0.421860068
nGyTDr5q,1.453766366,0.338076722
J8qdjHy8,1.446716768,0.345920373
qiIHjZln,1.385041048,0.41678839
JUvMRml6,1.376229946,0.408679213
ZK2JlJsq,1.373141759,0.48498354
15IPa5iS,1.352106253,0.333422906
POQZgYEM,1.350721318,0.436895491
GWB9Uvrb,1.337209868,0.411372608
qUI9PiJS,1.324898519,0.506520552
PJ2s4y3i,1.321100999,0.462152857
IpAvcDzr,1.313217633,0.311102278
dHsx22mJ,1.276294139,0.605430843
KyINSk8e,1.271751428,0.388131291
TQyNNoOf,1.266014424,0.257086079
02MJoCiL,1.248386594,0.399908023
vxlC5KaR,1.235187447,0.512044826
ySEYmd1c,1.228059432,0.464717466
AVXJQX9B,1.226208701,0.365961307
VKW2KzGC,1.22307218,0.455681113
GjPHiGli,1.199077083,0.462764276
JoT31ute,1.192160785,0.448399262
vbBOikks,1.188601715,0.509872663
cIvtHO4P,1.180724109,0.492878817
nvvWjNuQ,1.178681898,0.358382426
uwtiYEpw,1.173049472,0.381998724
pHIS8pPt,1.159821288,0.359558384
erdKOQ7X,1.155841443,0.392015335
RyeFHRQj,1.150920365,0.281712619
Kc2t70BJ,1.140855091,0.532206061
hhg6N9lU,1.13325632,0.306982078
xWZi5URn,1.109829932,0.408475303
QNEd2eGX,1.093675774,0.484500701
HAKCEJWo,1.090638902,0.507262073
gO7Cpt1X,1.089513921,0.491879482
yzutrWiF,1.088820395,0.460389154
EHotqA24,1.088548929,0.521909727
zbI7ifl8,1.084089687,0.475555128
OuYG4U64,1.080313239,0.441115109
GESYi2xq,1.076789487,0.440574968
WRgBWkBO,1.076424118,0.516567585
QJ2012XI,1.064065737,0.512518652
7Vgougy8,1.059494613,0.281531876
G0vvcncN,1.05622851,0.399604547
g9WGBFnV,1.04935565,0.361713142
DHAxflfI,1.042202522,0.583702107
kEC7G8DP,1.041174133,0.436621524
M0sPVbHP,1.037191282,0.371384206
XVvERXzh,1.035707231,0.379491565
1wXKj1Hr,1.035343436,0.480810248
ZyF5gFL7,1.034866798,0.393649245
byzUmGWJ,1.029742963,0.367360252
bYuhoS4X,1.029041778,0.438081907
4dh5A2nv,1.028283958,0.183943147
UZ9Vsj7D,1.02788376,0.46465423
iqQ28Zc4,1.023110689,0.278144832
nqtTzjoP,1.021354886,0.423946411
ufQZNsiU,1.014455139,0.516956852
g5sxqMgO,1.005756923,0.421465054
f8iKrVUp,1.005031362,0.417991214
Rxka2Dfe,1.002686996,0.373868777
a2SHGIQT,0.988606394,0.255070661
z8FFpnMp,0.985920638,0.437881145
1O18MObh,0.983143618,0.429592784
8elUiJYv,0.981410311,0.341079827
8S2DLkDz,0.978366516,0.413740783
bR8vqmI1,0.975106597,0.479402629
KmpRQuJD,0.968191883,0.442721765
FsNM5n5s,0.964840337,0.364441785
ztKJoXiw,0.9634936,0.325015818
CWf3eyvo,0.96237861,0.390105369
BvPM57u7,0.948493421,0.43753205
w2e3O8Lh,0.946001151,0.386439535
98l8KpqV,0.944240739,0.417624993
4RLH9WCs,0.942877614,0.256567599
x77WJ10Q,0.942063213,0.477881206
UpNWCJ9a,0.937183619,0.33927033
RZ584xig,0.933468376,0.413073316
KHDHZ4c5,0.929342077,0.374629223
WxIscnh0,0.927730285,0.528237279
eOBg4mwH,0.924275739,0.451408148
DckqPvXh,0.920484528,0.349699798
JNh9mTC7,0.919706358,0.490396762
MfzjZe52,0.917200557,0.384649887
a59COYtO,0.90519112,0.467098392
d4F5xQy9,0.899006988,0.379584993
o9xCf7YI,0.892222537,0.437046026
DVmTCuSO,0.892043852,0.39183424
vLEhUnMj,0.88980438,0.54311249
iIzgYYRS,0.882425565,0.384300205
0Srk33xU,0.881175345,0.486120623
HWfZASLi,0.880742347,0.506546301
C5W4TIo7,0.880239875,0.378502326
Ni69ryle,0.877323565,0.319302736
kGhQ1FQc,0.874439793,0.45934416
i9oVbbz6,0.869245026,0.347776609
obDMup1i,0.863737072,0.349951906
MVWT4FfX,0.862269967,0.467294342
oSFbRH4g,0.862045733,0.407841107
4b23aG2i,0.860967889,0.469597734
mMfeNBCP,0.860289598,0.422354227
XG46gE0Y,0.859794568,0.458864773
ebjrMM53,0.849246522,0.358781621
nM7tQcBS,0.844890065,0.311074449
Aq75NMHO,0.841642489,0.374583902
HA57ijek,0.839727629,0.444148215
fLfdcR9Z,0.836326134,0.381295894
YsYVO0J6,0.832730687,0.420497001
uBFpj4lx,0.829787369,0.528878026
b632WDpF,0.828276523,0.287104963
Ybch0Nl3,0.824334253,0.288651832
xMJoV8Kz,0.82225367,0.48326969
RJVU9j8P,0.8166607,0.410019762
T3aA8TCd,0.812169249,0.548813086
3E8qiyD2,0.809127253,0.48758964
Jz7HcSm7,0.803744087,0.206807396
x6NSfgSJ,0.800735588,0.402818035
8CHx7D0i,0.788201125,0.409404845
oE7OaXfV,0.784497191,0.390990754
FDrWmipp,0.774991187,0.369845345
W0BHMtXT,0.773381945,0.355270865
jD5WJNcX,0.765041083,0.400714577
C5LRwSjU,0.764139829,0.409191621
PA4bXBlr,0.757766718,0.260519922
ogsPBgBT,0.746167933,0.367484957
gQS9V6ab,0.741216939,0.386020721
iJsDlll8,0.740989702,0.394645372
N6l5Ci6H,0.739217558,0.541265569
B0Su5xdm,0.73566192,0.377844674
Dkjr9F7k,0.730171497,0.497244704
y3ET3wKE,0.727412379,0.37663501
fd7pMJua,0.723313039,0.361996745
e13bsM5a,0.722376253,0.462873483
dpphCSNb,0.720926926,0.344665416
CCBwJuQg,0.719328038,0.425123708
lxLc4Sek,0.716168612,0.40724399
mxKQbPdW,0.715795511,0.42153761
9Ex5Byum,0.696653385,0.417379415
RhRnfeBp,0.69562108,0.417577155
q8FyLMSn,0.69537577,0.415452101
4OQQyQYB,0.69534955,0.386054183
egXfYcVu,0.690382628,0.374177047
wBZ1RW0f,0.689474003,0.522003388
xEIsrkiR,0.68700507,0.442014988
6HTqE41x,0.686629791,0.549899218
gXhE9VUw,0.685625624,0.271605903
qhvy63Op,0.680069617,0.305294698
gudwNnwN,0.679616039,0.472636201
woyjGsIt,0.675434436,0.44334901
pmYdj2Zc,0.668662622,0.419067492
l58jyPMn,0.667817629,0.384486937
EL0qvt0M,0.644439635,0.412794748
h08bvb14,0.644330124,0.398702786
3nkxadKi,0.636621796,0.335143302
WiKfwQG1,0.634171332,0.304192777
Cw8bz9tw,0.629845198,0.398746065
K7pXSGJ9,0.615945936,0.45437378
FWDyTLr2,0.614704015,0.451554714
H1SDVD0X,0.608369171,0.488434943
mgKwPHtm,0.600500689,0.418171124
JOmsdP6A,0.596593797,0.388797451
PKYf165r,0.593451601,0.492786411
ULS1fTmQ,0.586719662,0.496346269
fvpJO6dv,0.583762294,0.324695833
hKEWIYx3,0.573441753,0.529784746
yXxNEYJT,0.573407932,0.360047651
Abnitm4V,0.570477749,0.514067193
R8eFySk4,0.564316821,0.339558443
bePyG1Du,0.55535094,0.404677134
l230IPIW,0.536110001,0.371952097
i0oCTuhJ,0.534436718,0.355596854
GLKexPjc,0.530239431,0.260641342
osrCJbfp,0.522727198,0.41300078
HpYl7dTS,0.522131511,0.529532265
Je470A3u,0.516940896,0.434747928
kbOfCieZ,0.514316349,0.457599756
EQSaAnPk,0.512226009,0.3257773
PHr2f4TQ,0.511725298,0.385832637
6PBhAWnI,0.510924294,0.50374899
yZHRUMz7,0.504118529,0.424143281
Awp7L46g,0.496431964,0.320715536
JFoDIM9T,0.487873715,0.367619927
zIDgWdoU,0.485657327,0.433156933
Or1k3cMJ,0.479367895,0.419490721
NCK9pYwX,0.475540884,0.467108501
ybGzWMPA,0.470531227,0.288164639
