subjectid,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20
02MJoCiL,0.065162956,0.121386287,0.194197351,0.245188835,0.303135816,0.320167528,0.280713403,0.247241103,0.209720531,0.253448901,0.071458964,0.202524264,0.117783036,0.122602322,0.177681177,0.14518201,0.211309094,0.167054085,0.348306694,0.207639365
0Srk33xU,0.060900641,0.110982978,0.173510927,0.209917789,0.197217951,0.156842471,0.045722249,0.094187215,0.077558234,0.123613956,0.057158414,0.15415068,0.117783036,0.066691374,0.046520016,0.057158414,0.223143551,0.15415068,0.117783036,0.287682072
0nUjlcd7,0.053121604,0.105063295,0.161441279,0.227506861,0.280409313,0.357525646,0.392854601,0.321320432,0.226313126,0.258861634,0.179048231,0.16907633,0.100083459,0.075507553,0.082238098,0.255933374,0.054067221,0.064538521,0,0.105360516
15IPa5iS,0.036393824,0.075597114,0.108821346,0.144772752,0.1889661,0.227258783,0.264692554,0.189322752,0.209091798,0.151157562,0.091880952,0.080042708,0.046251018,0.087647307,0.059592097,0.09531018,0.054067221,0.037271395,0.157628944,0.064538521
1O18MObh,0.053831015,0.097507287,0.149934583,0.203217125,0.260601114,0.290395778,0.343133377,0.285447435,0.355340721,0.287682072,0.014815086,0.075507553,0.064538521,0.09531018,0.031748698,0.070204259,0.15082289,0.024097552,0.053109825,0.103184236
1ovgasC1,0.093290539,0.147718135,0.186238994,0.155839869,0.147506137,0.080042708,0.049392755,0.067139303,0.061557893,0.056089467,0.051293294,0.071458964,0,0.105360516,0.074107972,0,0,0.223143551,0.223143551,0.510825624
1wXKj1Hr,0.032890753,0.072708818,0.105325142,0.128143401,0.158131145,0.183774517,0.197655921,0.176421835,0.201002425,0.109199292,0.081125545,0.055688906,0.042761859,0.060624622,0.063369614,0.047628049,0.062131781,0.028987537,0.062520357,0.042559614
1y68rPwI,0.045504842,0.09185766,0.153102022,0.219524531,0.28347154,0.316540901,0.36449767,0.330041346,0.194705616,0.16148747,0.177681177,0.182321557,0.218689201,0.178248231,0.387765531,0.259511195,0.287682072,0.127833372,0.212561442,0.25489225
2SV6hYB2,0.063325281,0.105095661,0.175521701,0.235496319,0.263065445,0.310462101,0.252765807,0.245122458,0.140229341,0.054067221,0.016529302,0.023810649,0.040821995,0.028987537,0.05942342,0.080042708,0.022472856,0.0588405,0,0.071458964
2geyDTFU,0.089808487,0.156228711,0.215693186,0.25064647,0.26887274,0.338144944,0.450416496,0.481451015,0.35244064,0.322083499,0.29479954,0.392042088,0.384411699,0.387765531,0.271933715,0.274436846,0.538996501,0.336472237,0.451985124,0.510825624
