"","left_hip_min_ang_vel_sit2stand","left_knee_min_ang_vel_stand2sit","neck_min_y_acc","pelvic_avg_speed","right_ankle_max_sd_stand2sit","right_hip_max_mean","right_hip_max_mean_stand2sit","right_hip_max_stand2sit","right_hip_min_ang_acc","speed","speed_stand2sit","time_diff_sit2stand","time_diff_stand2sit"
"left_hip_min_ang_vel_sit2stand","","","","","","","","","","","","",""
"left_knee_min_ang_vel_stand2sit"," 0.19*** ","","","","","","","","","","","",""
"neck_min_y_acc","-0.04    "," 0.06    ","","","","","","","","","","",""
"pelvic_avg_speed","-0.15**  ","-0.53****","-0.44****","","","","","","","","","",""
"right_ankle_max_sd_stand2sit"," 0.03    ","-0.04    ","-0.21****","-0.05    ","","","","","","","","",""
"right_hip_max_mean","-0.01    "," 0.00    ","-0.04    ","-0.18*** "," 0.01    ","","","","","","","",""
"right_hip_max_mean_stand2sit","-0.02    ","-0.04    ","-0.03    ","-0.15**  "," 0.00    "," 0.98****","","","","","","",""
"right_hip_max_stand2sit","-0.07    ","-0.06    ","-0.08    ","-0.04    "," 0.00    "," 0.86****"," 0.90****","","","","","",""
"right_hip_min_ang_acc"," 0.24****"," 0.53****"," 0.07    ","-0.58****"," 0.04    "," 0.07    "," 0.04    ","-0.04    ","","","","",""
"speed","-0.07    ","-0.66****","-0.06    "," 0.76****","-0.05    ","-0.21****","-0.16**  ","-0.07    ","-0.60****","","","",""
"speed_stand2sit","-0.02    ","-0.66****","-0.06    "," 0.71****","-0.01    ","-0.17*** ","-0.13**  ","-0.06    ","-0.54****"," 0.96****","","",""
"time_diff_sit2stand"," 0.00    ","-0.50****","-0.05    "," 0.38****"," 0.06    "," 0.02    "," 0.06    "," 0.05    ","-0.22****"," 0.56****"," 0.71****","",""
"time_diff_stand2sit","-0.01    "," 0.52****"," 0.05    ","-0.40****","-0.07    ","-0.01    ","-0.04    ","-0.04    "," 0.25****","-0.59****","-0.73****","-0.99****",""
"time_stand2sit"," 0.04    "," 0.66****"," 0.05    ","-0.58****","-0.02    "," 0.05    "," 0.01    ","-0.01    "," 0.42****","-0.81****","-0.86****","-0.87****"," 0.89****"
