"","speed_sd","pelvic_min_speed_stand2sit","pelvic_avg_y_acc","pelvic_avg_y_acc_sit2stand","pelvic_avg_y_acc_stand2sit","neck_avg_y_acc","pelvic_min_speed_sit2stand","pelvic_avg_y_speed_stand2sit","pelvic_avg_y_speed_sit2stand"
"speed_sd","","","","","","","","",""
"pelvic_min_speed_stand2sit","-0.10*   ","","","","","","","",""
"pelvic_avg_y_acc"," 0.04    "," 0.23****","","","","","","",""
"pelvic_avg_y_acc_sit2stand"," 0.04    "," 0.23****"," 1.00****","","","","","",""
"pelvic_avg_y_acc_stand2sit"," 0.04    "," 0.23****"," 1.00****"," 1.00****","","","","",""
"neck_avg_y_acc","-0.07    "," 0.32****"," 0.42****"," 0.42****"," 0.42****","","","",""
"pelvic_min_speed_sit2stand"," 0.06    "," 0.35****","-0.02    ","-0.02    ","-0.02    "," 0.05    ","","",""
"pelvic_avg_y_speed_stand2sit","-0.08    ","-0.04    "," 0.07    "," 0.07    "," 0.07    ","-0.03    ","-0.05    ","",""
"pelvic_avg_y_speed_sit2stand","-0.08    ","-0.04    "," 0.07    "," 0.07    "," 0.07    ","-0.03    ","-0.05    "," 1.00****",""
"pelvic_avg_y_speed","-0.08    ","-0.04    "," 0.07    "," 0.07    "," 0.07    ","-0.03    ","-0.05    "," 1.00****"," 1.00****"
