,variable,effect_size
162,trunk_max_mean,69.82883071
107,trunk_lean_min_mean,63.48281
261,trunk_lean_min_mean_sit2stand,61.73226784
401,trunk_lean_min_mean_stand2sit,59.91772042
160,trunk_max,58.07457023
259,trunk_lean_min_sit2stand,54.76422535
399,trunk_lean_min_stand2sit,54.45789886
105,trunk_lean_min,54.31060982
358,right_hip_max_mean_stand2sit,41.0334013
62,right_hip_max,40.11893252
64,right_hip_max_mean,40.1119422
344,left_hip_max_mean_stand2sit,38.80170154
48,left_hip_max,38.5050254
50,left_hip_max_mean,37.95805866
342,left_hip_max_stand2sit,37.18369734
356,right_hip_max_stand2sit,36.90214933
400,trunk_lean_max_mean_stand2sit,35.19167144
22,left_knee_max_mean,35.00076896
316,left_knee_max_mean_stand2sit,34.65607814
106,trunk_lean_max_mean,34.26441744
260,trunk_lean_max_mean_sit2stand,33.96437862
398,trunk_lean_max_stand2sit,32.27544659
232,left_ankle_max_mean_sit2stand,31.65907175
78,left_ankle_max_mean,31.42609617
258,trunk_lean_max_sit2stand,31.19477019
104,trunk_lean_max,30.97739487
218,right_hip_max_mean_sit2stand,30.59367877
372,left_ankle_max_mean_stand2sit,30.09706625
532,rknee_angle_first_stand,29.16568336
79,left_ankle_min_mean,28.93123643
204,left_hip_max_mean_sit2stand,28.7320335
202,left_hip_max_sit2stand,28.60694064
163,trunk_min_mean,28.37611153
314,left_knee_max_stand2sit,28.15553287
148,alignment_max_mean,27.57576958
233,left_ankle_min_mean_sit2stand,27.56196222
373,left_ankle_min_mean_stand2sit,27.26311881
176,left_knee_max_mean_sit2stand,26.70458946
302,alignment_max_mean_sit2stand,26.58067793
20,left_knee_max,26.47872231
442,alignment_max_mean_stand2sit,26.19294772
303,alignment_min_mean_sit2stand,25.63151655
216,right_hip_max_sit2stand,25.63007058
531,lknee_angle_first_stand,25.54581106
76,left_ankle_max,24.9141052
330,right_knee_max_mean_stand2sit,24.59852247
443,alignment_min_mean_stand2sit,24.30320322
534,Height,23.76086137
370,left_ankle_max_stand2sit,23.53056739
36,right_knee_max_mean,23.51622711
149,alignment_min_mean,23.19120071
161,trunk_min,23.08668186
230,left_ankle_max_sit2stand,22.68303851
440,alignment_max_stand2sit,22.35508315
386,right_ankle_max_mean_stand2sit,22.15118555
190,right_knee_max_mean_sit2stand,21.93257189
246,right_ankle_max_mean_sit2stand,21.6003633
92,right_ankle_max_mean,21.19944217
146,alignment_max,19.73750538
90,right_ankle_max,18.53117576
384,right_ankle_max_stand2sit,18.41724233
120,left_shank_angle_max_mean,18.36624388
328,right_knee_max_stand2sit,17.91955756
174,left_knee_max_sit2stand,17.8408291
244,right_ankle_max_sit2stand,17.76119941
414,left_shank_angle_max_mean_stand2sit,17.72207313
34,right_knee_max,17.49275067
6,n_sit2stand,17.20383336
441,alignment_min_stand2sit,17.18373649
274,left_shank_angle_max_mean_sit2stand,17.10622328
147,alignment_min,16.66974942
301,alignment_min_sit2stand,16.10283348
300,alignment_max_sit2stand,16.07028362
77,left_ankle_min,14.70245871
371,left_ankle_min_stand2sit,14.62802925
247,right_ankle_min_mean_sit2stand,14.52788855
289,right_shank_angle_min_mean_sit2stand,13.79764094
429,right_shank_angle_min_mean_stand2sit,13.75033661
135,right_shank_angle_min_mean,13.68346221
12,n_stand2sit,13.65258335
387,right_ankle_min_mean_stand2sit,13.25808535
188,right_knee_max_sit2stand,13.17538275
93,right_ankle_min_mean,12.99880987
275,left_shank_angle_min_mean_sit2stand,12.89341714
427,right_shank_angle_min_stand2sit,12.87753803
133,right_shank_angle_min,12.85289144
412,left_shank_angle_max_stand2sit,12.83729837
121,left_shank_angle_min_mean,12.70355382
287,right_shank_angle_min_sit2stand,12.68455087
415,left_shank_angle_min_mean_stand2sit,12.62624907
576,GPH_raw,12.24370665
119,left_shank_angle_min,12.15611508
23,left_knee_min_mean,12.11697933
