,variable,effect_size
160,trunk_max_mean,69.82883071
105,trunk_lean_min_mean,63.48281
259,trunk_lean_min_mean_sit2stand,61.73226784
399,trunk_lean_min_mean_stand2sit,59.91772042
158,trunk_max,58.07457023
257,trunk_lean_min_sit2stand,54.76422535
397,trunk_lean_min_stand2sit,54.45789886
103,trunk_lean_min,54.31060982
356,right_hip_max_mean_stand2sit,41.0334013
60,right_hip_max,40.11893252
62,right_hip_max_mean,40.1119422
342,left_hip_max_mean_stand2sit,38.80170154
46,left_hip_max,38.5050254
48,left_hip_max_mean,37.95805866
340,left_hip_max_stand2sit,37.18369734
354,right_hip_max_stand2sit,36.90214933
398,trunk_lean_max_mean_stand2sit,35.19167144
20,left_knee_max_mean,35.00076896
314,left_knee_max_mean_stand2sit,34.65607814
104,trunk_lean_max_mean,34.26441744
258,trunk_lean_max_mean_sit2stand,33.96437862
396,trunk_lean_max_stand2sit,32.27544659
230,left_ankle_max_mean_sit2stand,31.65907175
76,left_ankle_max_mean,31.42609617
256,trunk_lean_max_sit2stand,31.19477019
102,trunk_lean_max,30.97739487
216,right_hip_max_mean_sit2stand,30.59367877
370,left_ankle_max_mean_stand2sit,30.09706625
529,rknee_angle_first_stand,29.16568336
77,left_ankle_min_mean,28.93123643
202,left_hip_max_mean_sit2stand,28.7320335
200,left_hip_max_sit2stand,28.60694064
161,trunk_min_mean,28.37611153
312,left_knee_max_stand2sit,28.15553287
146,alignment_max_mean,27.57576958
231,left_ankle_min_mean_sit2stand,27.56196222
371,left_ankle_min_mean_stand2sit,27.26311881
174,left_knee_max_mean_sit2stand,26.70458946
300,alignment_max_mean_sit2stand,26.58067793
18,left_knee_max,26.47872231
440,alignment_max_mean_stand2sit,26.19294772
301,alignment_min_mean_sit2stand,25.63151655
214,right_hip_max_sit2stand,25.63007058
528,lknee_angle_first_stand,25.54581106
74,left_ankle_max,24.9141052
328,right_knee_max_mean_stand2sit,24.59852247
441,alignment_min_mean_stand2sit,24.30320322
368,left_ankle_max_stand2sit,23.53056739
34,right_knee_max_mean,23.51622711
147,alignment_min_mean,23.19120071
159,trunk_min,23.08668186
228,left_ankle_max_sit2stand,22.68303851
438,alignment_max_stand2sit,22.35508315
384,right_ankle_max_mean_stand2sit,22.15118555
188,right_knee_max_mean_sit2stand,21.93257189
244,right_ankle_max_mean_sit2stand,21.6003633
90,right_ankle_max_mean,21.19944217
144,alignment_max,19.73750538
88,right_ankle_max,18.53117576
382,right_ankle_max_stand2sit,18.41724233
118,left_shank_angle_max_mean,18.36624388
326,right_knee_max_stand2sit,17.91955756
172,left_knee_max_sit2stand,17.8408291
242,right_ankle_max_sit2stand,17.76119941
412,left_shank_angle_max_mean_stand2sit,17.72207313
32,right_knee_max,17.49275067
439,alignment_min_stand2sit,17.18373649
272,left_shank_angle_max_mean_sit2stand,17.10622328
145,alignment_min,16.66974942
299,alignment_min_sit2stand,16.10283348
298,alignment_max_sit2stand,16.07028362
75,left_ankle_min,14.70245871
369,left_ankle_min_stand2sit,14.62802925
245,right_ankle_min_mean_sit2stand,14.52788855
287,right_shank_angle_min_mean_sit2stand,13.79764094
427,right_shank_angle_min_mean_stand2sit,13.75033661
133,right_shank_angle_min_mean,13.68346221
385,right_ankle_min_mean_stand2sit,13.25808535
186,right_knee_max_sit2stand,13.17538275
91,right_ankle_min_mean,12.99880987
273,left_shank_angle_min_mean_sit2stand,12.89341714
425,right_shank_angle_min_stand2sit,12.87753803
131,right_shank_angle_min,12.85289144
410,left_shank_angle_max_stand2sit,12.83729837
119,left_shank_angle_min_mean,12.70355382
285,right_shank_angle_min_sit2stand,12.68455087
413,left_shank_angle_min_mean_stand2sit,12.62624907
117,left_shank_angle_min,12.15611508
21,left_knee_min_mean,12.11697933
271,left_shank_angle_min_sit2stand,12.1067557
315,left_knee_min_mean_stand2sit,11.96324583
411,left_shank_angle_min_stand2sit,11.93354993
35,right_knee_min_mean,11.80786501
175,left_knee_min_mean_sit2stand,11.73248326
19,left_knee_min,11.68984947
313,left_knee_min_stand2sit,11.67211907
229,left_ankle_min_sit2stand,11.6715358
329,right_knee_min_mean_stand2sit,11.62488547
189,right_knee_min_mean_sit2stand,11.57574626
343,left_hip_min_mean_stand2sit,10.95547417
173,left_knee_min_sit2stand,10.92354694
286,right_shank_angle_max_mean_sit2stand,10.9207875
33,right_knee_min,10.81280356
357,right_hip_min_mean_stand2sit,10.75273835
187,right_knee_min_sit2stand,10.70397583
116,left_shank_angle_max,10.53883939
327,right_knee_min_stand2sit,10.5045486
63,right_hip_min_mean,10.27866637
426,right_shank_angle_max_mean_stand2sit,10.27380789
132,right_shank_angle_max_mean,10.23341247
49,left_hip_min_mean,10.17808253
341,left_hip_min_stand2sit,10.04751779
355,right_hip_min_stand2sit,9.946793297
383,right_ankle_min_stand2sit,9.943366978
217,right_hip_min_mean_sit2stand,9.934475037
61,right_hip_min,9.792491438
203,left_hip_min_mean_sit2stand,9.754397382
215,right_hip_min_sit2stand,9.55398799
89,right_ankle_min,9.29769168
47,left_hip_min,9.184512551
243,right_ankle_min_sit2stand,9.022865988
201,left_hip_min_sit2stand,8.638915718
310,left_knee_range_mean_stand2sit,8.367244817
270,left_shank_angle_max_sit2stand,8.265594014
17,left_knee_sd,8.18820962
16,left_knee_range_mean,8.052017208
311,left_knee_sd_stand2sit,7.90804718
45,left_hip_sd,7.482252306
339,left_hip_sd_stand2sit,7.414049856
44,left_hip_range_mean,7.338044187
338,left_hip_range_mean_stand2sit,7.194257568
58,right_hip_range_mean,7.189121135
59,right_hip_sd,7.003201432
424,right_shank_angle_max_stand2sit,7.003113489
352,right_hip_range_mean_stand2sit,6.943830514
171,left_knee_sd_sit2stand,6.922276487
353,right_hip_sd_stand2sit,6.835572203
198,left_hip_range_mean_sit2stand,6.783665078
212,right_hip_range_mean_sit2stand,6.746296168
170,left_knee_range_mean_sit2stand,6.61058889
199,left_hip_sd_sit2stand,6.486756211
213,right_hip_sd_sit2stand,6.46005771
111,trunk_lean_max_ang_acc,6.421795621
130,right_shank_angle_max,6.131004074
222,right_hip_max_ang_vel_sit2stand,6.009184313
265,trunk_lean_max_ang_acc_sit2stand,5.962916214
30,right_knee_range_mean,5.936299716
54,left_hip_max_ang_vel,5.741810873
69,right_hip_max_ang_acc,5.620677112
68,right_hip_max_ang_vel,5.619908502
405,trunk_lean_max_ang_acc_stand2sit,5.615400746
31,right_knee_sd,5.581223381
349,left_hip_max_ang_acc_stand2sit,5.577013167
284,right_shank_angle_max_sit2stand,5.526469927
26,left_knee_max_ang_vel,5.518254682
208,left_hip_max_ang_vel_sit2stand,5.478797781
55,left_hip_max_ang_acc,5.449256355
184,right_knee_range_mean_sit2stand,5.41649878
180,left_knee_max_ang_vel_sit2stand,5.375457118
324,right_knee_range_mean_stand2sit,5.331332741
325,right_knee_sd_stand2sit,5.319942094
185,right_knee_sd_sit2stand,5.251323228
27,left_knee_max_ang_acc,5.168038586
527,rknee_angle_first_sit,5.050792688
110,trunk_lean_max_ang_vel,5.050351408
6,time_sit2stand,4.985596451
40,right_knee_max_ang_vel,4.922433649
1,time,4.639249818
166,trunk_max_ang_vel,4.546279922
194,right_knee_max_ang_vel_sit2stand,4.536278304
404,trunk_lean_max_ang_vel_stand2sit,4.462661111
