,Predictor,Selection_Frequency,Average_Coefficient
1,time,0.03,0.000369909
2,time_diff,0.07,-0.023257352
3,speed,0,0
4,time_sd,0.01,-0.002914624
5,speed_sd,0.7,-3.920217283
6,n_sit2stand,0.45,0.188931137
7,time_sit2stand,0,0
8,time_diff_sit2stand,0.18,-0.031076405
9,speed_sit2stand,0,0
10,time_sd_sit2stand,0.25,-0.331981039
11,speed_sd_sit2stand,0,0
12,n_stand2sit,0.45,0.187280587
13,time_stand2sit,0.03,0.001002784
14,time_diff_stand2sit,0.26,0.057820097
15,speed_stand2sit,0,0
16,time_sd_stand2sit,0.16,-0.0012276
17,speed_sd_stand2sit,0.06,0.01990316
18,left_knee_range_mean,0,0
19,left_knee_sd,0.01,-6.34E-05
20,left_knee_max,0,0
21,left_knee_min,0,0
22,left_knee_max_mean,0.01,-3.47E-05
23,left_knee_min_mean,0,0
24,left_knee_max_sd,0.11,0.011042554
25,left_knee_min_sd,0.15,-0.020447407
26,left_knee_ang_vel,0.19,0.001925151
27,left_knee_ang_acc,0.19,0.001890423
28,left_knee_max_ang_vel,0,0
29,left_knee_max_ang_acc,0.02,-2.87E-06
30,left_knee_min_ang_vel,0,0
31,left_knee_min_ang_acc,0.08,-8.44E-06
32,right_knee_range_mean,0.01,0.0000189
33,right_knee_sd,0.01,-1.24E-05
34,right_knee_max,0,0
35,right_knee_min,0.01,0.00000653
36,right_knee_max_mean,0,0
37,right_knee_min_mean,0,0
38,right_knee_max_sd,0.01,0.0000565
39,right_knee_min_sd,0.04,-0.001939527
40,right_knee_ang_vel,0.14,-0.000405129
41,right_knee_ang_acc,0.14,-0.000383951
42,right_knee_max_ang_vel,0,0
43,right_knee_max_ang_acc,0,0
44,right_knee_min_ang_vel,0,0
45,right_knee_min_ang_acc,0,0
46,left_hip_range_mean,0,0
47,left_hip_sd,0.01,-6.46E-05
48,left_hip_max,0.05,-0.00018348
49,left_hip_min,0.04,-0.000243045
50,left_hip_max_mean,0.08,-0.00022301
51,left_hip_min_mean,0,0
52,left_hip_max_sd,0.1,0.004654783
53,left_hip_min_sd,0.16,0.010344357
54,left_hip_ang_vel,0.07,0.000387614
55,left_hip_ang_acc,0.07,0.000384519
56,left_hip_max_ang_vel,0,0
57,left_hip_max_ang_acc,0.04,0.00000485
58,left_hip_min_ang_vel,0.01,0.0000301
59,left_hip_min_ang_acc,0.03,-3.32E-06
60,right_hip_range_mean,0,0
61,right_hip_sd,0.03,-0.000768525
