,alphas,accuracy,sensitivity,specificity,precision,f1_score,auc
1,0,0.289256198,0.236363636,0.818181818,0.928571429,0.376811594,0.591735537
2,0.1,0.446280992,0.436363636,0.545454545,0.905660377,0.588957055,0.521487603
3,0.2,0.421487603,0.409090909,0.545454545,0.9,0.5625,0.509917355
5,0.4,0.446280992,0.436363636,0.545454545,0.905660377,0.588957055,0.516528926
6,0.5,0.47107438,0.463636364,0.545454545,0.910714286,0.614457831,0.512396694
7,0.6,0.446280992,0.436363636,0.545454545,0.905660377,0.588957055,0.523140496
8,0.7,0.504132231,0.5,0.545454545,0.916666667,0.647058824,0.520661157
9,0.8,0.404958678,0.390909091,0.545454545,0.895833333,0.544303797,0.538016529
10,0.9,0.487603306,0.481818182,0.545454545,0.913793103,0.630952381,0.52892562
11,1,0.47107438,0.463636364,0.545454545,0.910714286,0.614457831,0.538016529
