,Predictor,Selection_Frequency,Average_Coefficient
1,time,0.21,0.010388617
2,time_diff,0.1,-0.02310228
3,speed,0,0
4,time_sd,0.04,0.003532445
5,speed_sd,0.83,-6.816865457
6,time_sit2stand,0.01,2.02E-05
7,time_diff_sit2stand,0.42,-0.099163288
8,speed_sit2stand,0,0
9,time_sd_sit2stand,0.25,-0.174128053
10,speed_sd_sit2stand,0.05,0.062668811
11,time_stand2sit,0.32,0.015193228
12,time_diff_stand2sit,0.46,0.121406131
13,speed_stand2sit,0,0
14,time_sd_stand2sit,0.15,-0.055452212
15,speed_sd_stand2sit,0.11,0.056193914
16,left_knee_range_mean,0.01,4.93E-05
17,left_knee_sd,0,0
18,left_knee_max,0,0
19,left_knee_min,0,0
20,left_knee_max_mean,0.01,-4.28E-05
21,left_knee_min_mean,0,0
22,left_knee_max_sd,0.08,0.008325728
23,left_knee_min_sd,0.15,-0.029108704
24,left_knee_ang_vel,0.36,0.005975144
25,left_knee_ang_acc,0.36,0.005863566
26,left_knee_max_ang_vel,0.01,3.20E-05
27,left_knee_max_ang_acc,0.02,1.95E-06
28,left_knee_min_ang_vel,0.01,8.03E-06
29,left_knee_min_ang_acc,0.25,-5.72E-05
30,right_knee_range_mean,0.04,0.000388817
31,right_knee_sd,0,0
32,right_knee_max,0,0
33,right_knee_min,0.01,3.65E-06
34,right_knee_max_mean,0.01,-8.98E-06
35,right_knee_min_mean,0,0
36,right_knee_max_sd,0.02,0.000291782
37,right_knee_min_sd,0.05,-0.006611469
38,right_knee_ang_vel,0.14,-0.00200684
39,right_knee_ang_acc,0.14,-0.001941399
40,right_knee_max_ang_vel,0,0
41,right_knee_max_ang_acc,0,0
42,right_knee_min_ang_vel,0,0
43,right_knee_min_ang_acc,0,0
44,left_hip_range_mean,0.01,0.00016027
45,left_hip_sd,0,0
46,left_hip_max,0.03,-0.000183128
47,left_hip_min,0.02,-0.000109702
48,left_hip_max_mean,0.02,-0.000442398
49,left_hip_min_mean,0,0
50,left_hip_max_sd,0.15,0.007751251
51,left_hip_min_sd,0.31,0.023468847
52,left_hip_ang_vel,0.26,0.002262825
53,left_hip_ang_acc,0.26,0.002208703
54,left_hip_max_ang_vel,0,0
55,left_hip_max_ang_acc,0.22,7.45E-05
56,left_hip_min_ang_vel,0.01,2.62E-05
57,left_hip_min_ang_acc,0.12,-1.42E-05
58,right_hip_range_mean,0,0
59,right_hip_sd,0.03,-0.000755638
60,right_hip_max,0.79,-0.023011742
61,right_hip_min,0,0
62,right_hip_max_mean,0.35,-0.004052717
63,right_hip_min_mean,0.01,-5.42E-06
64,right_hip_max_sd,0.03,-0.001424543
65,right_hip_min_sd,0.42,-0.048734663
66,right_hip_ang_vel,0.09,0.00104278
67,right_hip_ang_acc,0.09,0.00101458
68,right_hip_max_ang_vel,0,0
69,right_hip_max_ang_acc,0.05,1.89E-05
70,right_hip_min_ang_vel,0.01,9.81E-06
71,right_hip_min_ang_acc,0.05,8.98E-06
72,left_ankle_range_mean,0.02,0.000265359
73,left_ankle_sd,0.2,-0.005111875
74,left_ankle_max,0.1,-0.000623004
75,left_ankle_min,0.02,-2.78E-05
76,left_ankle_max_mean,0.02,-0.000185496
77,left_ankle_min_mean,0.07,-0.000837593
78,left_ankle_max_sd,0.08,-0.002859483
79,left_ankle_min_sd,0.01,-0.000270047
80,left_ankle_ang_vel,0.17,0.00318234
81,left_ankle_ang_acc,0.17,0.00310896
82,left_ankle_max_ang_vel,0.01,2.88E-06
83,left_ankle_max_ang_acc,0.01,-3.60E-07
84,left_ankle_min_ang_vel,0.04,-8.38E-05
85,left_ankle_min_ang_acc,0,0
86,right_ankle_range_mean,0,0
