"","Predictor","Selection_Frequency","Average_Coefficient","n_bootstraps"
"5","speed_sd",1,-6.01953201940232,1
"7","time_diff_sit2stand",1,-1.54633683552206,1
"12","time_diff_stand2sit",1,0.546537286172202,1
"23","left_knee_min_sd",1,-0.276291619193805,1
"24","left_knee_ang_vel",1,0.10134901293977,1
"25","left_knee_ang_acc",1,0.0999252496034931,1
"38","right_knee_ang_vel",1,0.0230013466315733,1
"39","right_knee_ang_acc",1,0.0230736572331567,1
"40","right_knee_max_ang_vel",1,0.00342139533519878,1
"46","left_hip_max",1,-0.0241694068444451,1
"48","left_hip_max_mean",1,-0.0301672768804893,1
"50","left_hip_max_sd",1,0.182146175564318,1
"55","left_hip_max_ang_acc",1,0.000984625738178862,1
"60","right_hip_max",1,-0.017632533440921,1
"69","right_hip_max_ang_acc",1,0.0013605906935058,1
"92","right_ankle_max_sd",1,-0.125349426705826,1
"94","right_ankle_ang_vel",1,-0.0657587303961088,1
"95","right_ankle_ang_acc",1,-0.0649724844895954,1
"113","trunk_lean_min_ang_acc",1,0.00277021788097886,1
"121","left_shank_angle_min_sd",1,0.418626841406988,1
"122","left_shank_angle_ang_vel",1,-0.206616618072688,1
"123","left_shank_angle_ang_acc",1,-0.204144624194165,1
"124","left_shank_angle_max_ang_vel",1,0.0193424179133453,1
"140","right_shank_angle_min_ang_vel",1,0.0191306642909207,1
"146","alignment_max_mean",1,-0.00293089118524094,1
"150","alignment_ang_vel",1,0.0494497915726988,1
"151","alignment_ang_acc",1,0.0489863446839277,1
"160","trunk_max_mean",1,-0.00342202107613635,1
"163","trunk_min_sd",1,0.0312338087321943,1
"166","trunk_max_ang_vel",1,0.00531912679270064,1
"170","left_knee_range_mean_sit2stand",1,-0.00254654216204475,1
"177","left_knee_min_sd_sit2stand",1,-0.0599488447156429,1
"181","left_knee_max_ang_acc_sit2stand",1,-1.90541040188949e-05,1
"182","left_knee_min_ang_vel_sit2stand",1,-0.00133732820606258,1
"190","right_knee_max_sd_sit2stand",1,-0.0205825342068116,1
"196","right_knee_min_ang_vel_sit2stand",1,0.000260666066562347,1
"199","left_hip_sd_sit2stand",1,-0.0144258725268238,1
"210","left_hip_min_ang_vel_sit2stand",1,0.00625814361600379,1
"211","left_hip_min_ang_acc_sit2stand",1,-0.00139322697286567,1
"214","right_hip_max_sit2stand",1,-0.00184322481929514,1
"223","right_hip_max_ang_acc_sit2stand",1,7.00789091184421e-05,1
"225","right_hip_min_ang_acc_sit2stand",1,2.64993548387346e-05,1
"226","left_ankle_range_mean_sit2stand",1,-0.00257612861748217,1
"231","left_ankle_min_mean_sit2stand",1,0.00795099934251178,1
"234","left_ankle_ang_vel_sit2stand",1,0.0181151169442385,1
"235","left_ankle_ang_acc_sit2stand",1,0.0176522713037833,1
"238","left_ankle_min_ang_vel_sit2stand",1,-0.00373397761981262,1
"239","left_ankle_min_ang_acc_sit2stand",1,4.80054296160704e-05,1
"260","trunk_lean_max_sd_sit2stand",1,0.161585095113268,1
"261","trunk_lean_min_sd_sit2stand",1,-0.78069880073222,1
"267","trunk_lean_min_ang_acc_sit2stand",1,0.00235657712687593,1
"271","left_shank_angle_min_sit2stand",1,-0.0245259597337807,1
"276","left_shank_angle_ang_vel_sit2stand",1,-0.0266022568970236,1
"277","left_shank_angle_ang_acc_sit2stand",1,-0.0263436171363433,1
"278","left_shank_angle_max_ang_vel_sit2stand",1,0.00687104923446652,1
"310","left_knee_range_mean_stand2sit",1,-0.0257074912750845,1
"312","left_knee_max_stand2sit",1,-0.0435638046730496,1
"313","left_knee_min_stand2sit",1,0.02240488816049,1
"316","left_knee_max_sd_stand2sit",1,-0.115694016511011,1
"320","left_knee_max_ang_vel_stand2sit",1,0.0123677904216499,1
"321","left_knee_max_ang_acc_stand2sit",1,7.01929301904761e-05,1
"340","left_hip_max_stand2sit",1,-0.00342797274982085,1
"342","left_hip_max_mean_stand2sit",1,-0.00531583257420021,1
"344","left_hip_max_sd_stand2sit",1,0.0807702068341898,1
"345","left_hip_min_sd_stand2sit",1,-0.188411919567691,1
"353","right_hip_sd_stand2sit",1,-0.00519087404400183,1
"359","right_hip_min_sd_stand2sit",1,-0.0549216284218634,1
"374","left_ankle_ang_vel_stand2sit",1,-0.0250457111986943,1
"375","left_ankle_ang_acc_stand2sit",1,-0.0250018527153233,1
"376","left_ankle_max_ang_vel_stand2sit",1,0.000279487598168568,1
"395","trunk_lean_sd_stand2sit",1,-0.0677934999131578,1
