,Left Knee Max Mean Stand2Sit,Right Ankle Max Sd Stand2Sit,Left Hip Min Ang Vel Sit2Stand,Right Hip Max Mean Stand2Sit,Right Hip Min Ang Acc,Pelvic Avg Speed,Number of Medical Conditions
1,0.294869056,2.303081438,1.862923007,2.220171251,1.888004042,2.117801875,1.810910707
2,1.420553761,3.611867186,2.148264458,2.877917428,2.189325837,2.65215971,1.786218009
3,2.338535989,3.216650043,2.289487253,0.719875542,0.735854798,3.157427474,1.231575256
4,2.176660311,3.130067434,-0.709319647,1.248027828,2.97736179,1.704551764,2.643152194
5,1.812498659,2.962782911,2.035702548,0.866490464,1.745786252,2.55248209,1.905880838
6,0.631949036,3.717759902,3.10552956,3.242510595,1.53123945,2.637864777,3.755023994
7,1.927038661,1.99830335,2.180363608,0.409501105,1.450014546,3.539343016,1.745558122
8,2.777599099,2.408722617,2.76894418,2.978909418,3.291498684,3.592925514,2.130906887
9,1.497921814,1.693456266,0.172043552,1.191513336,2.471870607,2.696905687,3.216389242
10,2.409588722,1.407880492,1.188722103,0.397088892,2.612037066,2.593542371,2.033950482
11,1.630986556,2.081659781,0.881550102,3.176302319,2.235378835,1.869079634,2.291868453
12,1.637998982,1.70911178,0.925151332,1.366685449,1.94639706,4.257301874,2.108854753
13,2.323829514,2.582979336,2.592077815,1.53256594,0.792507241,2.535942475,3.410240467
14,3.015288384,1.88288869,1.359200005,2.233491432,1.809615146,2.262015904,2.884191906
15,4.112946354,3.367770557,4.558971427,4.79333339,7.053747671,6.976728705,8.19031934
16,4.467874626,4.32318787,4.094080437,6.060205345,6.285061361,8.202144367,6.911860467
17,4.129901212,5.247357041,5.965403455,6.027441744,5.667582624,7.091304634,6.537777108
18,2.837748411,3.667693839,6.150278775,5.23913827,7.188795306,8.215773874,7.840563847
19,2.246304183,1.828814069,4.366872223,6.696841441,6.435662626,5.841947255,4.028938326
20,4.394238364,5.326612093,4.582013466,7.323644092,6.365076485,6.721349361,4.815439991
21,2.858179067,5.912364244,6.145980796,6.575209863,5.474763475,6.212887097,7.919418027
22,4.312033597,4.29057204,2.468892371,7.087537113,7.344512977,7.275137957,8.308808238
23,4.524660648,4.372668983,3.663765563,8.003082305,8.669072135,8.1243292,8.551938699
24,5.356730916,2.881302242,2.896592221,7.336124044,6.236170868,7.127231403,8.855690216
25,4.413325066,3.832255849,5.349076388,6.800254282,6.685397263,8.312767614,7.535668424
26,0.084607267,3.429169794,4.261815557,3.819873208,5.074469708,5.89378199,8.768455156
27,3.312983285,2.59422296,5.173095358,7.005131,7.89056648,7.442067904,7.903695396
28,4.109920084,3.622074861,4.020308108,4.832929673,7.223089322,8.076553009,13.97907557
29,2.728923698,1.97754863,5.915267067,6.27985414,6.008148009,9.269498221,8.92374083
30,3.466374056,2.612702724,5.261995692,5.242409404,5.91639482,7.486603174,6.959288399
31,5.354669291,5.35577557,5.067931097,7.97816051,10.46291132,8.02666654,9.323023191
32,3.701171718,2.030599737,4.052883852,4.320161682,7.722965654,4.044977931,7.413340254
33,4.075772678,1.990966455,4.864464759,6.144274553,7.16708022,7.646252135,7.884439225
34,3.127342689,3.613638844,4.398141101,6.07452995,4.964683813,6.882060184,7.107316825
35,4.451968873,3.374320537,5.011894739,4.576033101,10.49578018,7.187799762,6.380750844
36,1.349083284,4.859724867,5.057687587,8.449932658,7.172303233,5.873519203,8.284040643
37,4.970630328,4.741865346,5.423774736,5.34673843,5.904114117,6.19921465,6.406262732
38,3.536593605,4.675245019,5.422417791,6.786250618,6.276109438,5.47323654,7.924345029
39,4.67126116,4.624004153,3.515113815,6.042558039,7.856607989,7.07814198,10.14994289
