,Left Hip Min Ang Vel Sit2Stand,Time Diff Sit2Stand,Left Knee Min Ang Vel Stand2Sit,Right Ankle Max Sd Stand2Sit,Time Diff Stand2Sit,Right Hip Min Ang Acc,Right Hip Max Stand2Sit,Speed,Time Stand2Sit,Neck Min Y Acc,Speed Stand2Sit,Right Hip Max Mean,Pelvic Avg Speed,Right Hip Max Mean Stand2Sit
1,1.544488206,1.516001066,1.694191879,3.216001017,2.008214643,2.278003696,1.888411813,1.846445703,2.482327308,0.363107045,0.107362229,1.700283655,3.13362181,1.730113198
2,1.216670535,1.465709027,0.715506046,3.1061674,2.782801031,2.988702917,1.766779783,0.137744482,1.097339851,0.75563372,0.482227741,1.970421482,1.977720404,3.171197066
3,1.252637222,1.423923067,0.895631761,2.41775137,1.888155588,1.925114713,-0.751056475,2.669138434,2.057901253,0.795397311,2.482764689,2.257400834,2.265172876,1.52770611
4,2.540717516,0.555156707,2.560672985,2.712174201,1.424569659,1.044972066,2.812436856,1.945888225,2.575390007,3.254559738,2.080563141,3.182320791,2.485549236,2.457505038
5,2.628095582,1.377170915,-0.430619379,1.480760827,2.149647714,2.583606781,0.684629255,0.552101003,3.017659071,1.049830943,1.348706612,2.163331982,2.586501831,1.749193176
6,2.31379038,3.227260298,2.517570442,3.101877963,2.656114013,1.174055007,2.815378266,3.070351802,2.170051363,0.317630908,2.755594627,2.356949805,4.133639255,1.92543734
7,0.206072895,1.797254226,0.702772457,2.402832339,2.697576354,2.374570278,1.783647946,1.610209362,0.883939176,-1.691004448,1.87143214,3.926619288,3.218624127,3.12012267
8,0.431670516,1.372862928,2.087228669,0.871871817,2.357729635,3.061937041,0.562820133,1.677371827,1.835212183,0.871688915,1.56193941,2.312086473,3.117374882,3.349609976
9,2.006974594,0.697602857,0.831802725,2.065223406,0.624421308,1.42721249,2.47390058,1.440739819,1.509325182,1.415393414,2.034247816,1.72559375,3.297174905,3.139073695
10,0.776758187,0.46135428,0.252386149,2.706575476,2.13210748,1.410488864,1.693053494,1.482981413,3.155051396,1.173676975,2.663220927,2.893326375,0.684277086,3.746721659
11,2.079448723,0.390029656,2.26532781,3.447580628,1.303715525,1.231021372,0.66556501,1.361263342,1.941307383,1.159409767,2.174197954,2.335198329,3.212284298,2.290771903
12,0.513645533,0.228602485,0.352884095,3.662849703,1.958178829,2.489100505,1.009189146,1.654227562,3.173135284,0.884398932,1.026219212,2.079846944,3.78108792,1.311357479
13,1.457030131,1.50992025,0.69661525,2.481924442,2.591639914,0.395255803,2.175961809,1.438983136,2.352516075,2.222551836,2.870507301,3.462936363,3.14631783,3.083873098
