,Standard Deviation,Proportion of Variance,Cumulative Proportion
PC1,10.3017976,0.20062,0.20062
PC2,8.195540408,0.12697,0.32759
PC3,6.598460252,0.08231,0.40989
PC4,5.872941863,0.0652,0.47509
PC5,4.973280904,0.04676,0.52185
PC6,4.295697394,0.03488,0.55673
PC7,3.776333531,0.02696,0.58369
PC8,3.701458275,0.0259,0.60959
PC9,3.462462656,0.02266,0.63225
PC10,3.207253996,0.01945,0.6517
PC11,3.08609411,0.018,0.6697
PC12,3.010327425,0.01713,0.68683
PC13,2.879457091,0.01567,0.70251
PC14,2.786667177,0.01468,0.71719
PC15,2.745482573,0.01425,0.73143
PC16,2.634813259,0.01312,0.74456
PC17,2.554227719,0.01233,0.75689
PC18,2.384803941,0.01075,0.76764
PC19,2.181259017,0.00899,0.77664
PC20,2.116943354,0.00847,0.78511
PC21,2.070301221,0.0081,0.79321
PC22,2.003731436,0.00759,0.8008
PC23,1.97309282,0.00736,0.80816
PC24,1.939103634,0.00711,0.81527
PC25,1.83863126,0.00639,0.82166
PC26,1.798842409,0.00612,0.82777
PC27,1.749703469,0.00579,0.83356
PC28,1.716314542,0.00557,0.83913
PC29,1.700563036,0.00547,0.8446
PC30,1.635632267,0.00506,0.84965
PC31,1.600055535,0.00484,0.85449
PC32,1.559356122,0.0046,0.85909
PC33,1.541210314,0.00449,0.86358
PC34,1.490390785,0.0042,0.86778
PC35,1.454146475,0.004,0.87178
PC36,1.44114969,0.00393,0.8757
PC37,1.433834165,0.00389,0.87959
PC38,1.385945592,0.00363,0.88322
PC39,1.364777349,0.00352,0.88674
PC40,1.328447994,0.00334,0.89008
PC41,1.293096105,0.00316,0.89324
PC42,1.280424817,0.0031,0.89634
PC43,1.254447871,0.00297,0.89931
PC44,1.247552791,0.00294,0.90225
PC45,1.222980477,0.00283,0.90508
PC46,1.210731742,0.00277,0.90785
PC47,1.174397187,0.00261,0.91046
PC48,1.153081663,0.00251,0.91297
PC49,1.129280099,0.00241,0.91538
PC50,1.118937248,0.00237,0.91775
PC51,1.087112539,0.00223,0.91998
PC52,1.078937113,0.0022,0.92219
PC53,1.058073534,0.00212,0.9243
PC54,1.043956311,0.00206,0.92636
PC55,1.021460312,0.00197,0.92833
PC56,1.010482689,0.00193,0.93026
PC57,0.994953392,0.00187,0.93214
PC58,0.984046651,0.00183,0.93397
PC59,0.961540661,0.00175,0.93571
PC60,0.954784518,0.00172,0.93744
PC61,0.945322636,0.00169,0.93913
PC62,0.916394359,0.00159,0.94071
PC63,0.911754207,0.00157,0.94229
PC64,0.904884957,0.00155,0.94383
PC65,0.889806767,0.0015,0.94533
PC66,0.869114837,0.00143,0.94676
PC67,0.861956809,0.0014,0.94816
PC68,0.851984382,0.00137,0.94953
PC69,0.831253239,0.00131,0.95084
PC70,0.811230561,0.00124,0.95208
PC71,0.807555546,0.00123,0.95332
PC72,0.792970814,0.00119,0.95451
PC73,0.787102205,0.00117,0.95568
PC74,0.773027619,0.00113,0.95681
PC75,0.769106726,0.00112,0.95792
PC76,0.753765851,0.00107,0.959
PC77,0.746087291,0.00105,0.96005
PC78,0.734521009,0.00102,0.96107
PC79,0.72793711,0.001,0.96207
PC80,0.711381043,0.00096,0.96303
PC81,0.70518785,0.00094,0.96397
PC82,0.698458687,0.00092,0.96489
PC83,0.690020062,0.0009,0.96579
PC84,0.672341272,0.00085,0.96665
PC85,0.667648346,0.00084,0.96749
PC86,0.656463201,0.00081,0.9683
PC87,0.64637326,0.00079,0.96909
PC88,0.638686382,0.00077,0.96986
PC89,0.629629013,0.00075,0.97061
PC90,0.622871938,0.00073,0.97135
PC91,0.619533044,0.00073,0.97207
PC92,0.608288527,0.0007,0.97277
PC93,0.602407147,0.00069,0.97346
PC94,0.589304787,0.00066,0.97411
PC95,0.581382993,0.00064,0.97475
PC96,0.579099607,0.00063,0.97539
PC97,0.575318205,0.00063,0.97601
PC98,0.558008388,0.00059,0.9766
PC99,0.554962887,0.00058,0.97718
PC100,0.544213207,0.00056,0.97774
PC101,0.534939942,0.00054,0.97828
PC102,0.529633575,0.00053,0.97882
PC103,0.525632971,0.00052,0.97934
PC104,0.517597272,0.00051,0.97984
PC105,0.514469807,0.0005,0.98034
PC106,0.502889575,0.00048,0.98082
PC107,0.4983472,0.00047,0.98129
PC108,0.488708462,0.00045,0.98174
PC109,0.486653765,0.00045,0.98219
PC110,0.481843459,0.00044,0.98263
PC111,0.469841905,0.00042,0.98305
PC112,0.468001017,0.00041,0.98346
PC113,0.463053347,0.00041,0.98387
PC114,0.45682851,0.00039,0.98426
PC115,0.453851196,0.00039,0.98465
PC116,0.449542919,0.00038,0.98503
PC117,0.447831684,0.00038,0.98541
PC118,0.435672518,0.00036,0.98577
PC119,0.434762432,0.00036,0.98613
PC120,0.426819982,0.00034,0.98647
PC121,0.420675241,0.00033,0.98681
PC122,0.41384315,0.00032,0.98713
PC123,0.405732053,0.00031,0.98744
PC124,0.400154173,0.0003,0.98774
PC125,0.398589283,0.0003,0.98804
PC126,0.394765587,0.00029,0.98834
PC127,0.384064182,0.00028,0.98862
PC128,0.381704135,0.00028,0.98889
PC129,0.375446925,0.00027,0.98916
PC130,0.372793087,0.00026,0.98942
PC131,0.371284245,0.00026,0.98968
PC132,0.363919148,0.00025,0.98993
PC133,0.35991458,0.00024,0.99018
PC134,0.355446874,0.00024,0.99042
PC135,0.352492945,0.00023,0.99065
PC136,0.347394101,0.00023,0.99088
PC137,0.34110089,0.00022,0.9911
PC138,0.337789363,0.00022,0.99132
PC139,0.329823363,0.00021,0.99152
PC140,0.325619593,0.0002,0.99172
PC141,0.323076379,0.0002,0.99192
PC142,0.321264816,0.0002,0.99211
PC143,0.317914947,0.00019,0.99231
PC144,0.315590402,0.00019,0.99249
PC145,0.307550755,0.00018,0.99267
PC146,0.305338351,0.00018,0.99285
PC147,0.301412897,0.00017,0.99302
PC148,0.296728968,0.00017,0.99319
PC149,0.294780218,0.00016,0.99335
PC150,0.291534201,0.00016,0.99351
PC151,0.287362965,0.00016,0.99367
PC152,0.285666614,0.00015,0.99382
PC153,0.280776705,0.00015,0.99397
PC154,0.274961398,0.00014,0.99411
PC155,0.269764823,0.00014,0.99425
PC156,0.264741307,0.00013,0.99438
PC157,0.26067435,0.00013,0.99451
PC158,0.257844905,0.00013,0.99464
PC159,0.257270691,0.00013,0.99476
PC160,0.254963092,0.00012,0.99489
PC161,0.251395741,0.00012,0.99501
PC162,0.250643065,0.00012,0.99512
PC163,0.247366899,0.00012,0.99524
PC164,0.245588967,0.00011,0.99535
PC165,0.239874931,0.00011,0.99546
PC166,0.235088093,0.0001,0.99557
PC167,0.232775015,0.0001,0.99567
PC168,0.231252419,0.0001,0.99577
PC169,0.22987102,0.0001,0.99587
PC170,0.226169857,0.0001,0.99597
PC171,0.222644993,0.00009,0.99606
PC172,0.220569446,0.00009,0.99615
PC173,0.216290154,0.00009,0.99624
PC174,0.21303891,0.00009,0.99633
PC175,0.211509208,0.00008,0.99641
PC176,0.210838411,0.00008,0.9965
PC177,0.209193995,0.00008,0.99658
PC178,0.207784924,0.00008,0.99666
PC179,0.205382826,0.00008,0.99674
PC180,0.199310923,0.00008,0.99682
PC181,0.198749512,0.00007,0.99689
PC182,0.196381778,0.00007,0.99696
PC183,0.19498099,0.00007,0.99703
PC184,0.191463794,0.00007,0.9971
PC185,0.189223399,0.00007,0.99717
PC186,0.186631997,0.00007,0.99724
PC187,0.183172758,0.00006,0.9973
PC188,0.182800509,0.00006,0.99736
PC189,0.181725252,0.00006,0.99743
PC190,0.17956631,0.00006,0.99749
PC191,0.178623045,0.00006,0.99755
PC192,0.176103051,0.00006,0.99761
PC193,0.173143657,0.00006,0.99766
PC194,0.170246617,0.00005,0.99772
PC195,0.168766514,0.00005,0.99777
PC196,0.165576163,0.00005,0.99782
PC197,0.165252426,0.00005,0.99788
PC198,0.161774331,0.00005,0.99792
PC199,0.160312507,0.00005,0.99797
PC200,0.159649152,0.00005,0.99802
PC201,0.157175848,0.00005,0.99807
PC202,0.156324695,0.00005,0.99811
PC203,0.154230992,0.00004,0.99816
PC204,0.152594327,0.00004,0.9982
PC205,0.150274425,0.00004,0.99825
PC206,0.147914826,0.00004,0.99829
PC207,0.147260104,0.00004,0.99833
PC208,0.145577819,0.00004,0.99837
PC209,0.143975576,0.00004,0.99841
PC210,0.142907238,0.00004,0.99845
PC211,0.142588895,0.00004,0.99848
PC212,0.141214067,0.00004,0.99852
PC213,0.139467962,0.00004,0.99856
PC214,0.13634696,0.00004,0.99859
PC215,0.135324152,0.00003,0.99863
PC216,0.134014498,0.00003,0.99866
PC217,0.13152131,0.00003,0.9987
PC218,0.130528388,0.00003,0.99873
PC219,0.130009784,0.00003,0.99876
PC220,0.126807362,0.00003,0.99879
PC221,0.126214913,0.00003,0.99882
PC222,0.124711442,0.00003,0.99885
PC223,0.122228151,0.00003,0.99888
PC224,0.119781702,0.00003,0.99891
PC225,0.118515788,0.00003,0.99893
PC226,0.11824552,0.00003,0.99896
PC227,0.11626408,0.00003,0.99898
PC228,0.115393109,0.00003,0.99901
PC229,0.114417769,0.00002,0.99903
PC230,0.112881634,0.00002,0.99906
PC231,0.110765712,0.00002,0.99908
PC232,0.110412769,0.00002,0.9991
PC233,0.10893096,0.00002,0.99913
PC234,0.108714149,0.00002,0.99915
PC235,0.107738785,0.00002,0.99917
PC236,0.106021163,0.00002,0.99919
PC237,0.105315259,0.00002,0.99921
PC238,0.10397152,0.00002,0.99923
PC239,0.101636369,0.00002,0.99925
PC240,0.101138829,0.00002,0.99927
PC241,0.09988009,0.00002,0.99929
PC242,0.098430607,0.00002,0.99931
PC243,0.097226891,0.00002,0.99933
PC244,0.096506788,0.00002,0.99934
PC245,0.094823206,0.00002,0.99936
PC246,0.093660802,0.00002,0.99938
PC247,0.093281103,0.00002,0.99939
PC248,0.092340406,0.00002,0.99941
PC249,0.09150006,0.00002,0.99943
PC250,0.090059557,0.00002,0.99944
PC251,0.088786887,0.00001,0.99946
PC252,0.08713996,0.00001,0.99947
PC253,0.08582476,0.00001,0.99949
PC254,0.085139211,0.00001,0.9995
PC255,0.084697586,0.00001,0.99951
PC256,0.083244576,0.00001,0.99953
PC257,0.082184259,0.00001,0.99954
PC258,0.081278362,0.00001,0.99955
PC259,0.080186688,0.00001,0.99956
PC260,0.079452882,0.00001,0.99957
PC261,0.07888125,0.00001,0.99959
PC262,0.078755476,0.00001,0.9996
PC263,0.076523197,0.00001,0.99961
PC264,0.076330481,0.00001,0.99962
PC265,0.075098533,0.00001,0.99963
PC266,0.074044499,0.00001,0.99964
PC267,0.073225922,0.00001,0.99965
PC268,0.072321419,0.00001,0.99966
PC269,0.071683548,0.00001,0.99967
PC270,0.069634572,0.00001,0.99968
PC271,0.068753635,0.00001,0.99969
PC272,0.068074654,0.00001,0.9997
PC273,0.067269813,0.00001,0.99971
PC274,0.0665566,0.00001,0.99972
PC275,0.065415212,0.00001,0.99972
PC276,0.064941268,0.00001,0.99973
PC277,0.064183007,0.00001,0.99974
PC278,0.063420617,0.00001,0.99975
PC279,0.062699306,0.00001,0.99975
PC280,0.061024579,0.00001,0.99976
PC281,0.060566893,0.00001,0.99977
PC282,0.060354804,0.00001,0.99977
PC283,0.059181133,0.00001,0.99978
PC284,0.058002903,0.00001,0.99979
PC285,0.05773269,0.00001,0.99979
PC286,0.056477548,0.00001,0.9998
PC287,0.055823193,0.00001,0.99981
PC288,0.055481343,0.00001,0.99981
PC289,0.054553336,0.00001,0.99982
PC290,0.054151581,0.00001,0.99982
PC291,0.052958561,0.00001,0.99983
PC292,0.052055859,0.00001,0.99983
PC293,0.051748618,0.00001,0.99984
PC294,0.051025373,0,0.99984
PC295,0.050545309,0,0.99985
PC296,0.050200771,0,0.99985
PC297,0.049556553,0,0.99986
PC298,0.048726086,0,0.99986
PC299,0.048195601,0,0.99987
PC300,0.047822265,0,0.99987
PC301,0.046876217,0,0.99987
PC302,0.046844502,0,0.99988
PC303,0.045915501,0,0.99988
PC304,0.045311715,0,0.99989
PC305,0.043969662,0,0.99989
PC306,0.043575647,0,0.99989
PC307,0.043454081,0,0.9999
PC308,0.042549677,0,0.9999
PC309,0.042052902,0,0.9999
PC310,0.040964176,0,0.99991
PC311,0.040610224,0,0.99991
PC312,0.04027069,0,0.99991
PC313,0.039612611,0,0.99992
PC314,0.039144539,0,0.99992
PC315,0.038150252,0,0.99992
PC316,0.037575958,0,0.99993
PC317,0.036789817,0,0.99993
PC318,0.036251095,0,0.99993
PC319,0.035336615,0,0.99993
PC320,0.034844736,0,0.99993
